predicted_train_x;predicted_train_y
8.552522;-1.1854004
11.584096;-0.0029536923
9.675916;-0.164064
11.266099;0.33548158
9.711385;-0.010740294
7.911292;0.25614578
14.986307;0.21358481
12.58071;-0.039152727
5.8105745;-0.008249327
10.725062;-0.20790063
8.240357;1.4556572
23.966686;-0.20215757
8.526765;-0.069738016
8.609812;0.04879357
7.830119;-0.9561757
14.086791;-0.18274356
12.734107;0.17961843
10.192712;-0.25571305
8.542466;0.30260822
12.200328;0.3708396
9.8090105;0.59994423
13.569154;-0.20813634
13.59859;0.18191274
15.207873;0.20752598
11.019645;0.07984747
10.915202;0.12334432
13.24849;-0.060107365
12.642966;-0.021503285
10.613921;0.06298058
8.866935;-0.25371414
13.254006;-0.08285199
14.704325;-0.25986266
17.519867;-0.13159762
9.687961;-0.037062332
11.740922;0.2187034
10.601058;0.08692013
10.497716;-0.11846517
8.799064;0.21806996
10.832478;0.49685407
5.9056644;-0.07291816
14.003903;-0.42511454
13.2753;0.1679586
12.334764;-0.11590034
13.422227;0.1245053
10.168088;-0.33429593
8.872012;0.24614118
11.304887;0.35869604
9.744592;0.24846937
9.492934;0.7400435
11.902728;-0.23811282
16.887226;0.45646462
12.429484;0.029879346
8.342013;-0.054895326
10.202236;0.062232748
9.50524;0.20326911
10.762944;-0.0074949404
10.599839;0.026338294
11.308389;-0.105106875
13.66741;-0.11207187
9.167865;-0.12277013
8.404957;0.53900355
11.775052;0.18948998
11.640759;0.16282691
10.153797;-0.17876475
13.85584;-0.16605626
7.8256373;0.13326444
8.535508;0.30834207
8.368464;-0.083196625
-9.280082;-0.20444632
12.186781;0.21442834
8.798404;-0.12734179
12.61958;-0.08395539
9.85455;0.23217086
10.939927;0.43801567
5.642745;-0.036347076
8.802312;-0.12807353
9.359115;-0.038401425
10.61605;0.22558478
7.882981;-0.42389464
10.447844;-0.09128387
10.554904;-0.08435123
10.994319;-0.06795102
11.697118;-0.028832898
9.8411455;-0.13413464
9.27838;0.11650683
11.974484;0.3244912
12.0539255;0.41330022
11.511045;-0.16151826
11.722671;-0.0051454445
8.870141;-0.37014958
13.65557;-0.11822194
13.588212;-0.022828653
10.647346;-0.21826918
7.410556;0.1753818
11.797582;0.03902085
12.762078;0.104249075
10.96488;-0.2500679
10.000959;0.0067216614
8.870021;-0.13917106
9.525889;0.18950403
11.852365;0.14915104
9.821626;0.6102915
7.634796;0.12363036
10.069151;0.08086009
11.574409;0.065905675
9.660844;-0.079097584
11.802117;0.09569399
12.279672;-0.36879006
9.875096;0.15324302
17.154121;-0.15807159
-5.5981655;0.14189634
13.078731;0.3582627
10.593589;0.21701984
10.8805895;0.22417174
10.634814;0.04844518
9.105525;-0.3964302
13.146867;0.48549178
14.355725;-0.36356655
8.730807;-0.15521534
9.20641;0.14975302
9.685689;0.24360241
9.687621;0.27064845
11.617615;-0.12948169
9.788268;0.9983321
10.34829;-0.07725826
9.736442;0.27320972
10.311805;0.12918411
8.0001955;0.10931192
10.552197;-0.090501994
13.589093;-0.16056974
8.688422;0.1730711
8.8965845;0.3672176
10.951957;0.40562195
13.357344;-0.15074007
12.498054;-0.10859075
12.32202;0.11634232
8.872887;0.16534837
12.688893;0.10805477
5.201333;0.5568421
13.852357;0.111939386
8.92538;0.034003988
12.174853;0.44029054
12.370002;0.32804033
10.349974;-0.13373968
15.038172;0.054515675
11.646655;0.102530494
8.946659;0.24137647
10.377241;-0.08131997
12.306199;0.119001195
10.585334;0.15447055
11.252951;-0.2641173
12.858937;0.46545914
10.361768;0.21975315
8.743642;-0.8291216
13.429823;0.068635255
18.00832;-0.21650983
11.523009;-0.47044918
11.816937;0.04856281
10.559458;0.051810205
15.909815;-0.2318774
12.1815;0.41751528
9.089664;-0.04898058
8.866507;-0.21466969
7.578265;0.14016001
11.258624;-0.22258593
12.183774;0.20280097
7.9420166;0.29361334
11.373565;-0.17791884
6.7477894;0.3318887
11.401086;0.16561179
7.9383044;-0.114440605
12.257042;-0.15051313
10.084103;0.35834092
12.074535;-0.021532789
12.767083;-0.76903874
10.898883;0.16884308
-6.388996;2.725962
13.460872;-0.5134338
8.099757;-0.096475884
10.585836;0.290193
-5.575783;0.6259429
10.266039;-0.019137368
13.010678;0.023836508
10.651343;0.43556765
6.2216806;0.21297915
11.766351;-0.18185599
